rank,arch,hidden,seq_len,epochs,lr,ewma,th_name,recalc_n,precision,recall,f1,accuracy,seg_det,seg_total,score
162,GRU-AE,128,100,30,0.005,0.3,TH4 α3 w150 c2 r1,1,67.5,75.0,70.7,81.1,5,6,70.7
163,GRU-AE,128,100,30,0.005,0.3,TH4 α3 w150 c5 r1,1,67.5,75.0,70.7,81.1,5,6,70.7
164,GRU-AE,64,100,30,0.005,0.3,TH4 α3 w150 c2 r1,1,67.1,75.0,70.5,81.0,5,6,70.5
165,GRU-AE,64,100,30,0.005,0.3,TH4 α3 w150 c5 r1,1,67.1,75.0,70.5,81.0,5,6,70.5
166,GRU-AE,128,50,30,0.005,0.3,TH3 z2-10 w80 r1,1,66.7,75.0,70.2,90.6,5,6,70.2
167,GRU-AE,64,150,30,0.005,0.3,TH2 α4.5 w80 r10,10,66.8,75.0,70.2,81.1,5,6,70.2
168,GRU-AE,64,50,30,0.005,0.3,TH4 α3 w150 c2 r10,10,66.4,75.0,70.0,80.8,5,6,70.0
169,GRU-AE,64,50,30,0.005,0.3,TH4 α3 w150 c5 r10,10,66.4,75.0,70.0,80.8,5,6,70.0
170,GRU-AE,256,50,30,0.005,0.3,TH4 α3 w150 c2 r10,10,66.4,75.0,70.0,80.8,5,6,70.0
171,GRU-AE,256,50,30,0.005,0.3,TH4 α3 w150 c5 r10,10,66.4,75.0,70.0,80.8,5,6,70.0
172,GRU-AE,64,150,30,0.005,0.3,TH2 α3.5 w80 r10,10,66.5,75.0,69.9,81.1,5,6,69.9
173,GRU-AE,128,150,30,0.005,0.3,TH2 α4.5 w80 r10,10,66.5,75.0,69.9,81.1,5,6,69.9
174,GRU-AE,256,150,30,0.005,0.3,TH2 α3.5 w80 r10,10,66.5,75.0,69.9,81.1,5,6,69.9
175,GRU-AE,256,150,30,0.005,0.3,TH2 α4.5 w80 r10,10,66.5,75.0,69.9,81.1,5,6,69.9
176,GRU-AE,256,150,30,0.005,0.3,TH3 z3-10 w120 r10,10,66.5,75.0,69.9,80.9,5,6,69.9
177,GRU-AE,256,150,30,0.005,0.3,TH3 z3-10 w80 r10,10,66.3,75.0,69.8,80.9,5,6,69.8
178,GRU-AE,256,100,30,0.005,0.3,TH3 z3-10 w120 r10,10,66.2,75.0,69.7,91.3,5,6,69.7
179,GRU-AE,128,100,30,0.005,0.3,TH4 α3 w150 c2 r10,10,65.4,75.0,69.3,80.7,5,6,69.3
180,GRU-AE,128,100,30,0.005,0.3,TH4 α3 w150 c5 r10,10,65.4,75.0,69.3,80.7,5,6,69.3
181,GRU-AE,64,50,30,0.005,0.3,TH3 z2-10 w80 r10,10,65.1,75.0,69.1,90.3,5,6,69.1
182,GRU-AE,256,50,30,0.005,0.3,TH3 z2-10 w80 r10,10,65.2,75.0,68.9,90.9,5,6,68.9
183,GRU-AE,128,100,30,0.005,0.3,TH2 α3.5 w80 r10,10,64.5,75.0,68.5,83.5,5,6,68.5
184,GRU-AE,128,100,30,0.005,0.3,TH2 α4.5 w80 r10,10,64.5,75.0,68.5,83.5,5,6,68.5
185,GRU-AE,256,100,30,0.005,0.3,TH2 α3.5 w80 r10,10,64.5,75.0,68.5,83.5,5,6,68.5
186,GRU-AE,128,50,30,0.005,0.3,TH3 z2-10 w80 r10,10,64.3,75.0,68.4,90.3,5,6,68.4
187,GRU-AE,256,100,30,0.005,0.3,TH4 α3 w150 c2 r10,10,63.6,75.0,67.8,80.4,5,6,67.8
188,GRU-AE,256,100,30,0.005,0.3,TH4 α3 w150 c5 r10,10,63.6,75.0,67.8,80.4,5,6,67.8
189,GRU-AE,64,50,30,0.005,0.3,TH2 α3.5 w80 r30,30,61.1,75.0,65.3,90.3,5,6,65.3
190,GRU-AE,256,50,30,0.005,0.3,TH2 α3.5 w80 r30,30,61.1,75.0,65.3,90.3,5,6,65.3
191,GRU-AE,256,50,30,0.005,0.3,TH2 α4.5 w80 r30,30,61.1,75.0,65.3,90.3,5,6,65.3
192,GRU-AE,128,50,30,0.005,0.3,TH2 α3.5 w80 r30,30,60.9,75.0,65.2,90.1,5,6,65.2
193,GRU-AE,128,100,30,0.005,0.3,TH2 α4.5 w80 r30,30,58.1,75.0,63.0,81.2,5,6,63.0
194,GRU-AE,64,100,30,0.005,0.3,TH3 z3-10 w120 r1,1,49.3,50.0,49.6,74.5,4,6,49.6
195,GRU-AE,256,100,30,0.005,0.3,TH3 z3-10 w120 r1,1,49.3,50.0,49.6,74.5,4,6,49.6
196,GRU-AE,128,50,30,0.005,0.3,TH2 α3.5 w80 r1,1,48.6,50.0,49.3,74.5,4,6,49.3
197,GRU-AE,256,50,30,0.005,0.3,TH2 α3.5 w80 r1,1,48.6,50.0,49.3,77.4,4,6,49.3
198,GRU-AE,64,150,30,0.005,0.3,TH2 α4.5 w80 r1,1,48.0,50.0,49.0,67.4,4,6,49.0
199,GRU-AE,128,50,30,0.005,0.3,TH3 z3-10 w80 r1,1,47.9,50.0,48.9,74.3,4,6,48.9
200,GRU-AE,64,100,30,0.005,0.3,TH2 α4.5 w80 r1,1,47.4,50.0,48.6,67.3,4,6,48.6
201,GRU-AE,128,150,30,0.005,0.3,TH2 α4.5 w80 r1,1,47.4,50.0,48.6,67.3,4,6,48.6
202,GRU-AE,128,100,30,0.005,0.3,TH2 α4.5 w80 r1,1,47.4,50.0,48.6,67.3,4,6,48.6
203,GRU-AE,256,150,30,0.005,0.3,TH2 α4.5 w80 r1,1,47.4,50.0,48.6,67.3,4,6,48.6
204,GRU-AE,256,100,30,0.005,0.3,TH2 α4.5 w80 r1,1,46.9,50.0,48.3,67.3,4,6,48.3
205,GRU-AE,128,50,30,0.005,0.3,TH4 α3 w150 c2 r1,1,45.8,50.0,47.7,67.1,4,6,47.7
206,GRU-AE,128,50,30,0.005,0.3,TH4 α3 w150 c5 r1,1,45.8,50.0,47.7,67.1,4,6,47.7
207,GRU-AE,128,100,30,0.005,0.3,TH2 α3.5 w80 r1,1,45.8,50.0,47.7,67.0,4,6,47.7
208,GRU-AE,64,50,30,0.005,0.3,TH4 α3 w150 c2 r1,1,45.4,50.0,47.4,67.1,4,6,47.4
209,GRU-AE,64,50,30,0.005,0.3,TH4 α3 w150 c5 r1,1,45.4,50.0,47.4,67.1,4,6,47.4
210,GRU-AE,256,50,30,0.005,0.3,TH4 α3 w150 c2 r1,1,45.4,50.0,47.4,67.1,4,6,47.4
211,GRU-AE,256,50,30,0.005,0.3,TH4 α3 w150 c5 r1,1,45.4,50.0,47.4,67.1,4,6,47.4
